Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
BEN 212,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall 331,M. Blatchley,01/14/2025 - 04/24/2025,N/A
BEN 341,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 331,R. Sureshkumar,01/14/2025 - 04/24/2025,N/A
BEN 364,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall 331,L. Lin,01/13/2025 - 04/28/2025,N/A
BEN 375,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Link Hall 331,Z. Ma,01/14/2025 - 04/24/2025,N/A
BEN 385,"M001-SEC Regular",Mo 12:45PM - 3:35PM,Link Hall 331,Y. Zheng,01/13/2025 - 04/28/2025,N/A
BEN 385,"M002-SEC Regular",We 12:45PM - 3:35PM,Link Hall 331,Y. Zheng,01/15/2025 - 04/23/2025,N/A
BEN 412,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,P. Yung,12/18/2024 - 01/10/2025,N/A
BEN 422,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Bowne Hall 414,Y. Wu,01/13/2025 - 04/28/2025,N/A
BEN 430,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Link Hall 373,C. Smith,01/13/2025 - 04/28/2025,N/A
BEN 431,"M001-SEC Regular",Mo 5:15PM - 8:00PM,ONLINE SYNCHRONOUS,K. Tsokas,01/13/2025 - 04/28/2025,N/A
BEN 433,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Bowne Hall 414,E. Jain,01/14/2025 - 04/24/2025,N/A
BEN 487,"M001-SEC Regular",We 9:30AM - 11:30AM,Link Hall 331,P. Yung,01/15/2025 - 04/23/2025,N/A
BEN 487,"M002-LAB Regular",Fr 12:45PM - 3:30PM,Link Hall 331,P. Yung,01/17/2025 - 04/25/2025,N/A
BEN 522,"M001-SEC Regular",Th 9:30AM - 12:15PM,ONLINE SYNCHRONOUS,D. Ren,01/16/2025 - 04/24/2025,N/A
BEN 541,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Bowne Hall 414,Y. Zheng,01/14/2025 - 04/24/2025,N/A
BEN 568,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,School of Management 202,M. Monroe,01/14/2025 - 04/24/2025,N/A
BEN 602,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Bowne Hall 414,P. Yung,01/14/2025 - 04/24/2025,N/A
BEN 612,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,P. Yung,12/18/2024 - 01/10/2025,N/A
BEN 613,"M001-SEC Regular",TBA,TBA,J. Hewett,01/13/2025 - 04/28/2025,N/A
BEN 622,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Bowne Hall 414,Y. Wu,01/13/2025 - 04/28/2025,N/A
BEN 630,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Link Hall 373,C. Smith,01/13/2025 - 04/28/2025,N/A
BEN 631,"M001-SEC Regular",Mo 5:15PM - 8:00PM,ONLINE SYNCHRONOUS,K. Tsokas,01/13/2025 - 04/28/2025,N/A
BEN 633,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Bowne Hall 414,E. Jain,01/14/2025 - 04/24/2025,N/A
BEN 664,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall 331,L. Lin,01/13/2025 - 04/28/2025,N/A
BEN 997,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
ANT 111,"M001-SEC Regular",TuTh 12:30PM - 1:25PM,Heroy Geology Building Aud,J. Jok,01/14/2025 - 04/24/2025,N/A
ANT 111,"M002-DISRegular",Tu 8:00AM - 8:55AM,Maxwell Hall 108,S. Run,01/14/2025 - 04/22/2025,N/A
ANT 111,"M003-DISRegular",Mo 11:40AM - 12:35PM,Smith Hall 337,R. Wang,01/13/2025 - 04/28/2025,N/A
ANT 111,"M004-DISRegular",We 12:45PM - 1:40PM,Life Science Building 156,R. Wang,01/15/2025 - 04/23/2025,N/A
ANT 111,"M005-DISRegular",Fr 8:25AM - 9:20AM,Eggers Hall 111,V. Raina,01/17/2025 - 04/25/2025,N/A
ANT 111,"M006-DISRegular",Th 9:30AM - 10:25AM,Link Hall 200,S. Run,01/16/2025 - 04/24/2025,N/A
ANT 112,"M001-SEC Regular",Mo 2:15PM - 3:35PM,Link Hall room 160,H. Ruffin,01/13/2025 - 04/28/2025,N/A
ANT 112,"M002-DISRegular",Mo 3:45PM - 5:05PM,Hall of Languages 201,H. Ruffin,01/13/2025 - 04/28/2025,N/A
ANT 121,"M001-SEC Regular",MoWe 10:35AM - 11:30AM,Watson Theater,J. Jok,01/13/2025 - 04/28/2025,N/A
ANT 121,"M005-DISRegular",Fr 8:25AM - 9:20AM,Hall of Languages 215,P. Emerson,01/17/2025 - 04/25/2025,N/A
ANT 121,"M006-DISRegular",Mo 11:40AM - 12:35PM,Maxwell Hall 111,B. Hinkley,01/13/2025 - 04/28/2025,N/A
ANT 121,"M010-DISRegular",We 8:25AM - 9:20AM,LYMAN HALL 115A,E. Whitaker,01/15/2025 - 04/23/2025,N/A
ANT 121,"M011-DISRegular",Fr 8:25AM - 9:20AM,Eggers Hall 113,E. Whitaker,01/17/2025 - 04/25/2025,N/A
ANT 121,"M012-DISRegular",Th 8:00AM - 8:55AM,Maxwell Hall 111,K. Singh,01/16/2025 - 04/24/2025,N/A
ANT 121,"M013-DISRegular",Mo 12:45PM - 1:40PM,Hall of Languages 211,B. Hinkley,01/13/2025 - 04/28/2025,N/A
ANT 121,"U001-SEC Regular",Mo 5:15PM - 8:00PM,Eggers Hall 032,F. Keles,01/13/2025 - 04/28/2025,N/A
ANT 131,"M001-SEC Regular",MoWe 11:40AM - 12:35PM,HB CROUSE GIFFORD,G. Pezzarossi,01/13/2025 - 04/28/2025,N/A
ANT 131,"M004-DISRegular",We 12:45PM - 1:40PM,Lyman Hall 411A,F. Jones,01/15/2025 - 04/23/2025,N/A
ANT 131,"M007-DISRegular",Tu 8:00AM - 8:55AM,Lyman Hall 411A,.. Sadam Hussain,01/14/2025 - 04/22/2025,N/A
ANT 131,"M008-DISRegular",Th 2:00PM - 2:55PM,Lyman Hall 411A,M. Burhenn,01/16/2025 - 04/24/2025,N/A
ANT 145,"M001-SEC Regular",MoWe 12:45PM - 1:40PM,MARLEY ROOM 216,J. Haines,01/13/2025 - 04/28/2025,N/A
ANT 145,"M002-SEC Regular",MoWe 12:45PM - 1:40PM,MARLEY ROOM 216,J. Haines,01/13/2025 - 04/28/2025,N/A
ANT 145,"M003-DISRegular",Tu 11:00AM - 11:55AM,Lyman Hall 411A,K. Johnson,01/14/2025 - 04/22/2025,N/A
ANT 145,"M004-DISRegular",We 9:30AM - 10:25AM,Lyman Hall 411A,J. Haines,01/15/2025 - 04/23/2025,N/A
ANT 145,"M007-DISRegular",Th 11:00AM - 11:55AM,Lyman Hall 411A,D. Okanlawon,01/16/2025 - 04/24/2025,N/A
ANT 145,"M008-DISRegular",We 2:15PM - 3:10PM,Lyman Hall 411A,A. Burnside,01/15/2025 - 04/23/2025,N/A
ANT 185,"M001-SEC Regular",TuTh 9:30AM - 10:25AM,MARLEY ROOM 216,M. Bhan,01/14/2025 - 04/24/2025,N/A
ANT 185,"M002-DISRegular",Fr 8:25AM - 9:20AM,Bowne Hall 110,J. Sharma,01/17/2025 - 04/25/2025,N/A
ANT 185,"M003-DISRegular",Fr 12:45PM - 1:40PM,Bowne Hall 110,J. Sharma,01/17/2025 - 04/25/2025,N/A
ANT 185,"M004-DISRegular",Fr 12:45PM - 1:40PM,Bowne Hall 116,K. Taylor Riccio,01/17/2025 - 04/25/2025,N/A
ANT 185,"M005-DISRegular",Fr 8:00AM - 8:55AM,Bowne Hall 116,K. Taylor Riccio,01/17/2025 - 04/25/2025,N/A
ANT 185,"U702-SEC Eight Wk 2","TBA Tu 6:30PM - 8:00PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","F. Keles F. Keles","03/10/2025 - 05/01/2025 03/11/2025 - 04/29/2025",N/A
ANT 185,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,M. Schwarz,12/18/2024 - 01/10/2025,N/A
ANT 202,"M001-SEC Regular",MoWe 10:35AM - 11:30AM,Hall of Languages 214,K. Oda,01/13/2025 - 04/28/2025,N/A
ANT 311,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Maxwell Hall 205A,A. Hromadzic Vlasak,01/13/2025 - 04/28/2025,N/A
ANT 342,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Hall of Languages 111,T. Singleton,01/14/2025 - 04/24/2025,N/A
ANT 373,"M002-SEC Regular",TuTh 2:00PM - 3:20PM,School of Management 204,F. Keles,01/14/2025 - 04/24/2025,N/A
ANT 378,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 205,R. Habib,01/14/2025 - 04/24/2025,N/A
ANT 424,"M001-SEC Regular",Tu 5:00PM - 6:30PM,ONLINE SYNCHRONOUS,R. Rubinstein,01/14/2025 - 04/22/2025,N/A
ANT 446,"M001-SEC Regular",Mo 2:15PM - 5:00PM,MARLEY ROOM 306,T. Singleton,01/13/2025 - 04/28/2025,N/A
ANT 448,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,HB CROUSE 323A,G. Pezzarossi,01/14/2025 - 04/24/2025,N/A
ANT 452,"M001-SEC Regular",We 2:15PM - 5:00PM,FALK ROOM 201,R. Rubinstein,01/15/2025 - 04/23/2025,N/A
ANT 463,"M001-SEC Regular",Mo 5:15PM - 8:00PM,FALK ROOM 100,D. Larsen,01/13/2025 - 04/28/2025,N/A
ANT 473,"M001-SEC Regular",Mo 2:15PM - 5:00PM,Maxwell Hall 205A,A. Hromadzic Vlasak,01/13/2025 - 04/28/2025,N/A
ANT 481,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Hall of Languages 105,K. Mallon Andrews,01/13/2025 - 04/28/2025,N/A
ANT 624,"M001-SEC Regular",Tu 5:00PM - 6:30PM,ONLINE SYNCHRONOUS,R. Rubinstein,01/14/2025 - 04/22/2025,N/A
ANT 646,"M001-SEC Regular",Mo 2:15PM - 5:00PM,MARLEY ROOM 306,T. Singleton,01/13/2025 - 04/28/2025,N/A
ANT 648,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,HB CROUSE 323A,G. Pezzarossi,01/14/2025 - 04/24/2025,N/A
ANT 652,"M001-SEC Regular",We 2:15PM - 5:00PM,FALK ROOM 201,R. Rubinstein,01/15/2025 - 04/23/2025,N/A
ANT 663,"M001-SEC Regular",Mo 5:15PM - 8:00PM,FALK ROOM 100,D. Larsen,01/13/2025 - 04/28/2025,N/A
ANT 673,"M001-SEC Regular",Mo 2:15PM - 5:00PM,Maxwell Hall 205A,A. Hromadzic Vlasak,01/13/2025 - 04/28/2025,N/A
ANT 678,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 205,R. Habib,01/14/2025 - 04/24/2025,N/A
ANT 711,"M001-SEC Regular",Fr 9:30AM - 12:15PM,Maxwell Hall 205A,M. Bhan,01/17/2025 - 04/25/2025,N/A
ANT 741,"M001-SEC Regular",We 2:15PM - 5:00PM,Maxwell Hall 205A,C. DeCorse,01/15/2025 - 04/23/2025,N/A
ANT 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
CSE 262,"M001-SEC Regular",Fr 12:45PM - 3:30PM,SCITC 3-116,J. Medjo Me Biomo,01/17/2025 - 04/25/2025,N/A
CSE 262,"M002-SEC Regular",Th 2:00PM - 4:45PM,SCITC 3-116,J. Medjo Me Biomo,01/16/2025 - 04/24/2025,N/A
CSE 384,"M001-SEC Regular",MoWe 5:15PM - 6:35PM,Link Hall room 160,J. Waclawski,01/13/2025 - 04/28/2025,N/A
CSE 384,"M002-SEC Regular",MoWe 2:15PM - 3:35PM,Hall of Languages 207,Y. Tang,01/13/2025 - 04/28/2025,N/A
CSE 398,"M002-SEC Regular",MoWe 12:45PM - 3:35PM,Science & Tech Ctr 3-217,Y. Cao,01/13/2025 - 04/28/2025,N/A
CSE 400,"M001-SEC Regular","MoWe 11:40AM - 12:35PM Fr 10:35AM - 12:30PM","Science & Tech Ctr 3-216 SCITC4-201","J. Medjo Me Biomo J. Medjo Me Biomo","01/13/2025 - 04/28/2025 01/17/2025 - 04/25/2025",N/A
CSE 400,"M002-SEC Regular",TuTh 9:30AM - 10:50AM,Hall of Languages 205,E. Ercanli,01/14/2025 - 04/24/2025,N/A
CSE 400,"M003-SEC Regular","MoWe 5:15PM - 6:35PM We 6:45PM - 8:05PM","Science & Tech Ctr 3-217 Science & Tech Ctr 3-217","D. Marcy D. Marcy","01/13/2025 - 04/28/2025 01/15/2025 - 04/23/2025",N/A
CSE 486,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Newhouse 2 469,B. Kim,01/14/2025 - 04/24/2025,N/A
CSE 486,"M002-LAB Regular",Fr 11:40AM - 1:40PM,Link Hall 011,B. Kim,01/17/2025 - 04/25/2025,N/A
CSE 486,"M003-LAB Regular",Fr 2:15PM - 4:05PM,Link Hall 011,B. Kim,01/17/2025 - 04/25/2025,N/A
CSE 492,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,SCITC3-211,J. Graham,01/14/2025 - 04/24/2025,N/A
CSE 581,"M004-SEC Regular",TuTh 5:00PM - 6:20PM,Watson Theater,L. Wang,01/14/2025 - 04/24/2025,N/A
CSE 643,"M400-SEC ONL2 Sprng","TBA Tu 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Weissman J. Weissman","03/26/2025 - 04/07/2025 04/08/2025 - 06/17/2025",N/A
CSE 644,"M400-SEC ONL2 Wntr","TBA Th 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Weissman J. Weissman","01/02/2025 - 01/08/2025 01/09/2025 - 03/20/2025",N/A
CSE 661,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Heroy Geology Building Aud,E. Ercanli,01/13/2025 - 04/28/2025,N/A
CSE 661,"M400-SEC ONL2 Wntr","TBA Mo 6:30PM - 8:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Abdallah M. Abdallah","01/02/2025 - 01/12/2025 01/13/2025 - 03/24/2025",N/A
