Instructor,RMP_Rating,RMP_Review1,RMP_Review2,RMP_Review3
M. Blatchley,2.5,"Extremely tough grader. With the long articles she assigns, the papers you have to write for them, you almost always have to rewrite. When you rewrite it, things that were right on the first paper, will be wrong on the second paper after rewriting it. Hard class, but is willing to work with you outside of class.","Essays due almost every week, usually based on a 20 page article.",Decent. Her topics are odd but she gives the opportunity for peer edits and really tries for everyone to understand. Don't worry about her deadlines she will extend them. Her style is odd and quirky but worth it for a decent grade. Her lectures are usually pretty boring but participation and attendance are key. Use her office hours if needed.
R. Sureshkumar,5.0,"This class was not the easiest, but the professor really helps you succeed. He will go over homework questions and the tests were not too difficult, but the material is very dense. All lecture notes are posted, and there are random in-class quizzes that are extra credit. The midterm and final were open notes. Overall a very good professor.",,
L. Lin,1.0,"I did not have a good experience. The atmosphere was consistently negative, and it felt as though she thrived on making students feel inadequate.",,
Z. Ma,4.3,"genuinely such a kind and nice professor, very relaxed and very willing to help with any questions/assignments even exams! its impossible to get a low grade in his class, as long as you do your assignments and he even gives extensions if you need. go to his office hours just to chat or ask questions and hes always there to help :]",Very hard to understand for first couple weeks. He often goes on tangents that have nothing to do with course material. He often comes unprepared and disorganized to lecture. He is a very easy grader and is an easy A. He will basically give you answers to the test if you ask him questions. Lectures are just reading off slides for 1he 20min.,Professor Joao Marum was awesome. His lectures are fairly easy and the professor also is very funny and always tries to make its lectures interesting and fun!
Y. Zheng,3.4,"Overall you can tell he is very knowledgeable about the topics and cares about the material. It is very test heavy, but tests mirror homework rather closely, making studying straightforward. Vyer interesting material.","He's super nice and his power points are pretty good, but his class is super test heavy which makes it hard to get a good grade if you aren't a good test taker.","Professor Zheng's slides are clear, and his study plans would prepare you well with the exam."
P. Yung,4.9,"For BME students, Prof. Yung is one of the best faculty in the department! His course is fun and engaging. For those new to BME it introduces you to a little of everything- programming, CAD, and medical knowledge. There is group and individual work, and outside of that there are many extra credit opportunities. He also does online + in person help.","Yung taught ECS 101 for the first time this semester. He constantly took feedback from students (and applied it) and structured the class so that we were learning to understand, not to pass an exam. After exam 1 he offered a reflection assignment to boost your exam grade. During his office hours he's helped with assignments and getting into a lab.","Professor Young is my favorite professor at Syracuse. He is very caring, gives great feedback, and wants his students to succeed. I've taken almost all the classes Professor Young offers and was happy with every single one."
Y. Wu,3.5,"professor is great, extremely kind and exams aren't hard",Lecture contents can be totally self-studied.,"Insensitive to student needs, he always tell students to think of our own problems"
C. Smith,2.4,"She's super nice but is a tough grader. She has strict guidelines for how your code should look and has no exceptions for late work. The group projects can also be quite difficult with no prior coding experience, but ask her for help! Random quizzes are her way of taking attendance, but they're not that hard. No exams.",takes pop quizzes everyday based off of attendance. lectures are rly boring and reads off slides. little to no instructions on projects but they are easy overall. shes a nice professor but is rly bad at instructions and giving help.,Read off slides all class and was not forgiving for late work or small mistakes.
K. Tsokas,4.3,"Collins is an absolutely incredible professor. I had him for two semesters in a row, and I am incredibly sad that I cannot take any more classes with him. Collins deeply cares about his material, and he wants you to care about it as well. He is a tough grader, but he always provides good feedback to improve for the next paper.","I'm a 4.0 high school student. Lost all interest in school. After 5 semesters of going through the motions, Collins gave me a reason to be excited for school. Nothing he teaches is easy to understand, nor is it compelling material. However, his knowledge and willingness to be personable is a strength. He will leave you WANTING to read more.",He best professor
E. Jain,1.0,"Worst experience I've ever had with a prof. Had no idea what she was doing & wouldn't respond to student's feedback. Most dry lectures ever. The class had a lab component, and it consistently went over time. Spent an extra 3 hours in the lab one week because she had not prepared for it. Grade weighting made no sense also. Horrible experience.","Horrible. Not receptive to students' feedback. Refused to give us our exams back to review for the final. Dry lecturer, would also waste class waiting for students to respond to questions we never learned. She kept us for an extra hour after our 3 hour lab ended. We all told her we didn't understand anything and did nothing to improve.",
D. Ren,4.0,"""The professor is pretty average, but his teaching makes the course harder than it needs to be. He doesn't post slides, so you're stuck relying on your own notes. The tests are ridiculously hard, often covering details barely mentioned in class. Luckily, he offers extra credit, which can save your ass if you bomb a test—so take advantage of it.""","I personally found this class particularly easy and interesting. There are many court cases to memorize, but it's not bad. He allows cheat sheets on the tests. He does not call on people for participation—it is all slides, but still interesting regardless. He does not post the slides. Typing is the best way to take notes (there is a lot to copy).",
M. Monroe,5.0,"He's really good at explaining each lesson with clear, concrete examples. There weren't any lecture slides—everything was pretty much from the zyBook. Attendance isn't a big deal to him, so he won't nag you about showing up. I'd definitely recommend taking him.",,
J. Hewett,2.7,"You're only graded by exams, but overall the course itself is very dense and difficult. He kind of just reads off the slides but will explain if you ask.",Wow toxicology was really hard. Dr. Hewett is very knowledgeable but it's hard to keep up with him sometimes. His tests are difficult because almost every question is short response rather than multiple choice. Your grade depends almost entirely on the tests so there is no room for error. Don't take this unless you know you can put in the work.,"Professor Hewett is passionate about his work, but the lectures are dense and he is unable to boil concepts down simply. Graded only by tests and the occasional homework assignment. The tests are majority short answer and involve outside knowledge. The lectures are hard to follow due to superficial information and lack of explanation."
Staff,4.7,"Professor Stafford is by far one of my favorites at this university. He fills classes with humor and enjoys connecting personally with each student as they permit. Grading is most strict when it comes to your formatting and citations. Aside from that, you have nothing to worry about. He gives you plenty of time for each paper, so use that wisely","Stafford was my favorite professor super funny guy who always made class fly by super quick, he prefers quality over when you get the paper done which is super helpful to be able to take more time into actually writing a good paper instead of rushing through it because of the due date LOVE this guy best English prof you will ever have","He is hilarious! Professor Stafford is very nice, always asking about our day and offering guidance. He is a very sarcastic person. There are few papers and we spend a lot of our time critiquing them. The reading and journals we write on the reading is also very simple. No quizzes. Great class!"
